##################################################
         Track rate for each run number           
##################################################
runnum :316531 , # of tracks :2649      , track rates :2.33      
runnum :316548 , # of tracks :367       , track rates :0.21      
runnum :316517 , # of tracks :95        , track rates :3.45      
runnum :316516 , # of tracks :811       , track rates :1.83      
runnum :316518 , # of tracks :379       , track rates :2.24      
runnum :316332 , # of tracks :719       , track rates :2.42      
runnum :316936 , # of tracks :4219      , track rates :0.90      
runnum :316932 , # of tracks :77189     , track rates :2.46      
runnum :316862 , # of tracks :7825      , track rates :2.45      
runnum :316861 , # of tracks :663       , track rates :2.30      
runnum :316704 , # of tracks :2         , track rates :0.12      
runnum :316933 , # of tracks :4692      , track rates :2.23      
runnum :316582 , # of tracks :976       , track rates :0.44      
runnum :316668 , # of tracks :8947      , track rates :2.44      
runnum :316972 , # of tracks :2372      , track rates :2.36      
runnum :316649 , # of tracks :2713      , track rates :2.46      
runnum :316962 , # of tracks :2963      , track rates :2.41      
runnum :316792 , # of tracks :3859      , track rates :1.64      
runnum :316976 , # of tracks :13966     , track rates :2.45      
runnum :316866 , # of tracks :9258      , track rates :2.26      
runnum :316705 , # of tracks :1250      , track rates :2.23      
runnum :316829 , # of tracks :0         , track rates :0.00      
runnum :316775 , # of tracks :3256      , track rates :2.11      
runnum :316971 , # of tracks :19303     , track rates :2.46      
runnum :316794 , # of tracks :5681      , track rates :1.91      
runnum :316586 , # of tracks :9487      , track rates :2.36      
runnum :316987 , # of tracks :3605      , track rates :2.43      
runnum :316592 , # of tracks :3978      , track rates :1.70      
runnum :316957 , # of tracks :6824      , track rates :2.42      
runnum :316841 , # of tracks :8871      , track rates :2.42      
runnum :316986 , # of tracks :7733      , track rates :2.42      
runnum :316653 , # of tracks :1264      , track rates :2.43      
runnum :316956 , # of tracks :7404      , track rates :2.44      
runnum :316654 , # of tracks :434       , track rates :2.09      
runnum :316599 , # of tracks :4609      , track rates :2.07      
runnum :316977 , # of tracks :9027      , track rates :2.47      
runnum :316931 , # of tracks :43424     , track rates :2.43      
runnum :316605 , # of tracks :2520      , track rates :1.26      
runnum :316655 , # of tracks :6012      , track rates :1.32      
runnum :316950 , # of tracks :308       , track rates :2.59      
runnum :316778 , # of tracks :2283      , track rates :1.62      
runnum :316954 , # of tracks :1212      , track rates :2.09      
runnum :316840 , # of tracks :1487      , track rates :1.84      
runnum :316883 , # of tracks :21552     , track rates :2.23      
runnum :316706 , # of tracks :4455      , track rates :2.44      
runnum :316676 , # of tracks :0         , track rates :0.00      
runnum :316973 , # of tracks :3541      , track rates :2.35      
runnum :316833 , # of tracks :955       , track rates :2.06      
runnum :316965 , # of tracks :16011     , track rates :2.46      
runnum :316831 , # of tracks :3658      , track rates :2.48      
runnum :316881 , # of tracks :6571      , track rates :2.37      
runnum :316582 , # of tracks :4664      , track rates :2.46      
runnum :316961 , # of tracks :5757      , track rates :2.40      
runnum :316707 , # of tracks :13162     , track rates :2.21      
runnum :316988 , # of tracks :9448      , track rates :2.15      
runnum :316935 , # of tracks :598       , track rates :2.34      
runnum :316958 , # of tracks :6448      , track rates :2.43      
runnum :316964 , # of tracks :993       , track rates :2.42      
runnum :316585 , # of tracks :2021      , track rates :2.62      
runnum :316642 , # of tracks :4493      , track rates :1.64      
runnum :316945 , # of tracks :31013     , track rates :2.46      
runnum :316788 , # of tracks :4934      , track rates :1.18      
runnum :316793 , # of tracks :7975      , track rates :2.30      
runnum :317001 , # of tracks :32        , track rates :0.23      
runnum :317355 , # of tracks :690       , track rates :2.31      
runnum :317251 , # of tracks :5260      , track rates :1.89      
runnum :317206 , # of tracks :26        , track rates :0.01      
runnum :317246 , # of tracks :2980      , track rates :2.37      
runnum :317065 , # of tracks :1139      , track rates :0.72      
runnum :317629 , # of tracks :4464      , track rates :2.04      
runnum :317495 , # of tracks :2499      , track rates :1.65      
runnum :317520 , # of tracks :6749      , track rates :2.39      
runnum :317192 , # of tracks :905       , track rates :2.25      
runnum :317442 , # of tracks :152       , track rates :2.38      
runnum :317579 , # of tracks :15560     , track rates :2.27      
runnum :317600 , # of tracks :2250      , track rates :2.22      
runnum :317496 , # of tracks :1662      , track rates :2.46      
runnum :317684 , # of tracks :3103      , track rates :2.40      
runnum :317603 , # of tracks :58        , track rates :3.53      
runnum :317489 , # of tracks :326       , track rates :1.83      
runnum :317287 , # of tracks :8705      , track rates :1.97      
runnum :317349 , # of tracks :2220      , track rates :2.48      
runnum :317216 , # of tracks :7169      , track rates :2.40      
runnum :317615 , # of tracks :1214      , track rates :2.20      
runnum :317605 , # of tracks :23462     , track rates :2.40      
runnum :317584 , # of tracks :895       , track rates :2.51      
runnum :317620 , # of tracks :4889      , track rates :2.12      
runnum :317464 , # of tracks :4347      , track rates :1.55      
runnum :317160 , # of tracks :3         , track rates :0.03      
runnum :317421 , # of tracks :3099      , track rates :2.41      
runnum :317350 , # of tracks :6130      , track rates :2.50      
runnum :317243 , # of tracks :1583      , track rates :2.53      
runnum :317346 , # of tracks :4288      , track rates :2.51      
runnum :317249 , # of tracks :2667      , track rates :2.49      
runnum :317642 , # of tracks :1149      , track rates :0.77      
runnum :317207 , # of tracks :26606     , track rates :2.26      
runnum :317163 , # of tracks :337       , track rates :0.31      
runnum :317194 , # of tracks :8170      , track rates :2.48      
runnum :317203 , # of tracks :4012      , track rates :2.07      
runnum :317344 , # of tracks :42494     , track rates :2.40      
runnum :317497 , # of tracks :623       , track rates :2.62      
runnum :317557 , # of tracks :1741      , track rates :0.98      
runnum :317236 , # of tracks :669       , track rates :0.78      
runnum :317190 , # of tracks :880       , track rates :1.56      
runnum :317343 , # of tracks :639       , track rates :2.28      
runnum :317352 , # of tracks :53714     , track rates :2.46      
runnum :317162 , # of tracks :29        , track rates :0.08      
runnum :317581 , # of tracks :174       , track rates :0.78      
runnum :317202 , # of tracks :770       , track rates :2.49      
runnum :317685 , # of tracks :11439     , track rates :2.41      
runnum :317592 , # of tracks :297       , track rates :2.19      
runnum :317498 , # of tracks :4385      , track rates :1.84      
runnum :317687 , # of tracks :15326     , track rates :2.26      
runnum :317418 , # of tracks :2201      , track rates :2.38      
runnum :317353 , # of tracks :5427      , track rates :2.25      
runnum :317632 , # of tracks :3343      , track rates :2.20      
runnum :317265 , # of tracks :2241      , track rates :1.89      
runnum :317602 , # of tracks :2792      , track rates :2.17      
runnum :317634 , # of tracks :2883      , track rates :1.00      
runnum :317322 , # of tracks :1031      , track rates :2.38      
runnum :317172 , # of tracks :2649      , track rates :0.84      
runnum :317362 , # of tracks :10759     , track rates :2.44      
runnum :317443 , # of tracks :2784      , track rates :1.76      
runnum :317347 , # of tracks :994       , track rates :2.33      
runnum :317428 , # of tracks :4797      , track rates :1.86      
runnum :317230 , # of tracks :1518      , track rates :2.54      
runnum :317618 , # of tracks :21867     , track rates :2.22      
runnum :317228 , # of tracks :144       , track rates :2.83      
runnum :317491 , # of tracks :732       , track rates :2.42      
runnum :317247 , # of tracks :8071      , track rates :2.40      
runnum :317604 , # of tracks :7076      , track rates :2.39      
runnum :317422 , # of tracks :12295     , track rates :2.38      
runnum :317686 , # of tracks :751       , track rates :2.30      
runnum :317419 , # of tracks :281       , track rates :0.73      
runnum :317351 , # of tracks :6726      , track rates :2.46      
runnum :317371 , # of tracks :17791     , track rates :2.29      
runnum :317387 , # of tracks :64513     , track rates :2.35      
runnum :317342 , # of tracks :738       , track rates :2.32      
runnum :317234 , # of tracks :209       , track rates :2.31      
runnum :317585 , # of tracks :51763     , track rates :2.28      
runnum :317493 , # of tracks :938       , track rates :0.40      
runnum :317595 , # of tracks :4769      , track rates :2.24      
runnum :317002 , # of tracks :66        , track rates :0.22      
runnum :317083 , # of tracks :2417      , track rates :1.31      
runnum :316998 , # of tracks :44        , track rates :0.20      
runnum :317358 , # of tracks :4796      , track rates :2.45      
runnum :317241 , # of tracks :1061      , track rates :2.45      
runnum :317348 , # of tracks :13899     , track rates :2.43      
runnum :318774 , # of tracks :4408      , track rates :2.22      
runnum :318118 , # of tracks :8860      , track rates :2.48      
runnum :318844 , # of tracks :2         , track rates :0.21      
runnum :318779 , # of tracks :1318      , track rates :2.42      
runnum :318768 , # of tracks :2586      , track rates :2.26      
runnum :318045 , # of tracks :28247     , track rates :2.14      
runnum :319163 , # of tracks :928       , track rates :1.99      
runnum :318739 , # of tracks :4451      , track rates :1.28      
runnum :318129 , # of tracks :4923      , track rates :2.29      
runnum :318786 , # of tracks :112       , track rates :0.20      
runnum :319226 , # of tracks :0         , track rates :0.00      
runnum :318162 , # of tracks :18988     , track rates :2.52      
runnum :318744 , # of tracks :995       , track rates :0.39      
runnum :318170 , # of tracks :371       , track rates :2.83      
runnum :318160 , # of tracks :201       , track rates :5.55      
runnum :318050 , # of tracks :291       , track rates :2.38      
runnum :318116 , # of tracks :1306      , track rates :2.44      
runnum :318165 , # of tracks :52        , track rates :5.60      
runnum :319304 , # of tracks :1820      , track rates :0.96      
runnum :318746 , # of tracks :7         , track rates :0.26      
runnum :318751 , # of tracks :1128      , track rates :0.21      
runnum :319162 , # of tracks :1310      , track rates :2.31      
runnum :318772 , # of tracks :6923      , track rates :2.20      
runnum :318521 , # of tracks :18499     , track rates :2.61      
runnum :318833 , # of tracks :1908      , track rates :2.28      
runnum :318266 , # of tracks :1601      , track rates :2.33      
runnum :318740 , # of tracks :2906      , track rates :1.23      
runnum :318268 , # of tracks :6485      , track rates :2.30      
runnum :319224 , # of tracks :601       , track rates :2.44      
runnum :318646 , # of tracks :18031     , track rates :2.32      
