##################################################
         Track rate for each run number           
##################################################
runnum :292080 , # of tracks :1847      , track rates :0.63      
runnum :291428 , # of tracks :1285      , track rates :2.60      
runnum :291851 , # of tracks :6161      , track rates :2.70      
runnum :291872 , # of tracks :27392     , track rates :2.74      
runnum :292153 , # of tracks :1564      , track rates :2.69      
runnum :292004 , # of tracks :185       , track rates :0.05      
runnum :291871 , # of tracks :27873     , track rates :2.74      
runnum :292319 , # of tracks :545       , track rates :2.69      
runnum :290755 , # of tracks :1357      , track rates :2.42      
runnum :292721 , # of tracks :5203      , track rates :2.45      
runnum :292156 , # of tracks :4383      , track rates :2.71      
runnum :290510 , # of tracks :59608     , track rates :2.47      
runnum :290747 , # of tracks :22256     , track rates :2.50      
runnum :292476 , # of tracks :538       , track rates :3.16      
runnum :292243 , # of tracks :357       , track rates :2.60      
runnum :291860 , # of tracks :36272     , track rates :1.61      
runnum :292459 , # of tracks :123       , track rates :2.76      
runnum :290787 , # of tracks :1407      , track rates :2.53      
runnum :290201 , # of tracks :8928      , track rates :2.49      
runnum :290189 , # of tracks :6671      , track rates :2.46      
runnum :290757 , # of tracks :28719     , track rates :2.55      
runnum :292270 , # of tracks :38202     , track rates :2.54      
runnum :292545 , # of tracks :4486      , track rates :2.46      
runnum :291340 , # of tracks :54417     , track rates :1.79      
runnum :292477 , # of tracks :1058      , track rates :2.74      
runnum :292075 , # of tracks :2736      , track rates :2.73      
runnum :291510 , # of tracks :3518      , track rates :2.44      
runnum :291867 , # of tracks :60511     , track rates :1.37      
runnum :292711 , # of tracks :18538     , track rates :2.48      
runnum :291222 , # of tracks :53354     , track rates :2.49      
runnum :291387 , # of tracks :1919      , track rates :2.60      
runnum :290772 , # of tracks :23375     , track rates :2.54      
runnum :292618 , # of tracks :1705      , track rates :2.49      
runnum :292218 , # of tracks :4362      , track rates :2.49      
runnum :291956 , # of tracks :2341      , track rates :2.70      
runnum :292457 , # of tracks :198       , track rates :3.10      
runnum :292223 , # of tracks :1003      , track rates :2.51      
runnum :292497 , # of tracks :2977      , track rates :0.26      
runnum :290500 , # of tracks :5714      , track rates :2.50      
runnum :292364 , # of tracks :1291      , track rates :2.58      
runnum :291862 , # of tracks :18233     , track rates :2.70      
runnum :292369 , # of tracks :133       , track rates :0.16      
runnum :291680 , # of tracks :2397      , track rates :2.79      
runnum :291834 , # of tracks :442       , track rates :2.69      
runnum :291875 , # of tracks :4044      , track rates :2.80      
runnum :291860 , # of tracks :58245     , track rates :1.75      
